fraction,samples,model,f1,train_time
0.01,36,TF-IDF+LR,0.4897934087555337,0.010770797729492188
0.01,36,TF-IDF+SVM,0.3414285714285714,0.004269123077392578
0.01,36,FastText,0.4845273137352345,0.36947107315063477
0.01,36,DistilBERT,0.4685794661364694,9.120693922042847
0.01,36,RoBERTa,0.5427047542374099,10.057846784591675
0.05,184,TF-IDF+LR,0.608392796466191,0.009821891784667969
0.05,184,TF-IDF+SVM,0.3414285714285714,0.02100205421447754
0.05,184,FastText,0.4614485981308411,0.4617338180541992
0.05,184,DistilBERT,0.6048918776371308,17.22571110725403
0.05,184,RoBERTa,0.3513354482194024,32.08885884284973
0.1,368,TF-IDF+LR,0.5859803365475516,0.009805917739868164
0.1,368,TF-IDF+SVM,0.3414285714285714,0.06895589828491211
0.1,368,FastText,0.5603420052477498,0.3892800807952881
0.1,368,DistilBERT,0.6034127434297599,38.32010293006897
0.1,368,RoBERTa,0.6262970168612192,95.28291296958923
0.25,920,TF-IDF+LR,0.6252032520325204,0.01226186752319336
0.25,920,TF-IDF+SVM,0.3414285714285714,0.3099069595336914
0.25,920,FastText,0.5867264314632736,0.42885398864746094
0.25,920,DistilBERT,0.6520623419751689,117.82879900932312
0.25,920,RoBERTa,0.7105761287733956,237.69071626663208
0.5,1840,TF-IDF+LR,0.6257975610676936,0.011445999145507812
0.5,1840,TF-IDF+SVM,0.3464013292531932,1.3559176921844482
0.5,1840,FastText,0.6090987042682927,0.5516579151153564
0.5,1840,DistilBERT,0.6919377305925758,274.4652998447418
0.5,1840,RoBERTa,0.730653247389649,530.3287460803986
1.0,3680,TF-IDF+LR,0.6623444743196564,0.015044212341308594
1.0,3680,TF-IDF+SVM,0.5051229450611213,4.394347906112671
1.0,3680,FastText,0.6049662681974197,0.5213959217071533
1.0,3680,DistilBERT,0.7067112164639462,584.2401788234711
1.0,3680,RoBERTa,0.7830547398539267,1059.53573179245
