dataset,fraction,samples,model,f1,train_time
20NG,0.01,24,TF-IDF+LR,0.14457596110865328,0.007098197937011719
20NG,0.05,122,TF-IDF+LR,0.26405289316698655,0.04105710983276367
20NG,0.05,122,FastText,0.047206680139641036,0.32051587104797363
20NG,0.1,244,TF-IDF+LR,0.3112007305716344,0.062339067459106445
20NG,0.1,244,FastText,0.036316515026192445,0.35712409019470215
20NG,0.25,610,TF-IDF+LR,0.525451733410945,0.12997078895568848
20NG,0.25,610,FastText,0.04920335475917936,0.3413529396057129
20NG,0.5,1221,TF-IDF+LR,0.6826503135608282,0.1961958408355713
20NG,0.5,1221,FastText,0.16337601579706845,0.34744906425476074
20NG,1.0,2442,TF-IDF+LR,0.862497291672128,0.304027795791626
20NG,1.0,2442,FastText,0.5682493046242149,0.4676511287689209
TweetEval,0.01,36,TF-IDF+LR,0.4897934087555337,0.0010411739349365234
TweetEval,0.05,184,TF-IDF+LR,0.608392796466191,0.0018420219421386719
TweetEval,0.05,184,FastText,0.5124582258132746,0.33524274826049805
TweetEval,0.1,368,TF-IDF+LR,0.5859803365475516,0.0016298294067382812
TweetEval,0.1,368,FastText,0.568739463874445,0.3382120132446289
TweetEval,0.25,920,TF-IDF+LR,0.6252032520325204,0.0037720203399658203
TweetEval,0.25,920,FastText,0.5853379317642871,0.3829169273376465
TweetEval,0.5,1840,TF-IDF+LR,0.6257975610676936,0.003264904022216797
TweetEval,0.5,1840,FastText,0.6206158398226594,0.3567821979522705
TweetEval,1.0,3680,TF-IDF+LR,0.6623444743196564,0.006579875946044922
TweetEval,1.0,3680,FastText,0.5858986240821273,0.345217227935791
20NG,1.0,2442,DistilBERT,0.7549,1361.2
20NG,1.0,2442,RoBERTa,0.8143,2752.4
TweetEval,1.0,3680,DistilBERT,0.7199,1957.1
TweetEval,1.0,3680,RoBERTa,0.7591,4041.0
