fraction,samples,model,f1,train_time
0.01,36,TF-IDF+LR,0.4897934087555337,0.003773927688598633
0.05,184,TF-IDF+LR,0.608392796466191,0.002888202667236328
0.05,184,FastText,0.5101362733968826,0.3645811080932617
0.1,368,TF-IDF+LR,0.5859803365475516,0.001867055892944336
0.1,368,FastText,0.5546146851557172,0.3216707706451416
0.25,920,TF-IDF+LR,0.6252032520325204,0.003161191940307617
0.25,920,FastText,0.5747253012630105,0.31685614585876465
0.5,1840,TF-IDF+LR,0.6257975610676936,0.003113985061645508
0.5,1840,FastText,0.6158333333333332,0.32445192337036133
1.0,3680,TF-IDF+LR,0.6623444743196564,0.005997896194458008
1.0,3680,FastText,0.5825403824180617,0.3266470432281494
1.0,3680,DistilBERT,0.7199,1957.1
1.0,3680,RoBERTa,0.7591,4041.0
